step,train_loss,val_loss,val_ppl,induction,entropy,phase_norm,steps_per_sec,tokens_per_sec,wall_time_sec
500,7.994841119527817,6.564268493652344,709.2928541536398,2.9004980000024716e-06,4.516030311584473,0.1790006309747696,0.2184144194372883,14314.007392242125,2289.2261476516724
1000,6.1810729021430015,5.742003135681152,311.6881397002303,3.921469889256457e-06,3.966134548187256,0.4478451609611511,0.21465711494379436,14067.768684956507,4618.522337675095
1500,5.446715838611126,5.068262252807617,158.89796279825933,4.1531697085872565e-06,3.650926113128662,0.8355732560157776,0.21608895920603885,14161.606030526962,6932.384192705154
2000,4.997654808312655,4.651626529693604,104.7552345816569,5.106132199728108e-06,3.547471284866333,1.321833848953247,0.21731445811589145,14241.920327083062,9233.197513341904
2500,4.596563084363938,4.304209384918213,74.0106783572199,8.448664442539666e-05,3.5032315254211426,1.7820473909378052,0.21628378614606042,14174.374208868216,11544.975057601929
3000,4.339528598845005,4.116705455780029,61.35676633473221,7.098755895640352e-05,3.4132959842681885,2.158235788345337,0.21219118574044618,13906.161548685881,13901.34060716629
3500,4.230882165133953,3.9980305862426757,54.49072949780459,0.0005773253878942342,3.3467977046966553,2.4904918670654297,0.2146330472618709,14066.191385353972,16230.897990703583
4000,4.122167703598738,3.9163919258117676,50.218923901503864,0.0002910994982698867,3.403554677963257,2.7859065532684326,0.21415561040336206,14034.902083394736,18565.648871421814
4500,4.024027060896159,3.863974761962891,47.65439028549617,0.001457346698970241,3.4029359817504883,3.0532782077789307,0.20829339269663508,13650.715783766676,20966.109075784683
