step,train_loss,val_loss,val_ppl,induction,entropy,phase_norm,steps_per_sec,tokens_per_sec,wall_time_sec
500,7.994372157812118,6.561982593536377,707.6733332727721,3.1058161233943338e-06,4.5153703689575195,0.20485936105251312,0.22053332138003875,14452.87174996222,2267.231078147888
1000,6.17907203578949,5.735173931121826,309.5668093794012,3.5917175145172564e-06,3.981621742248535,0.4590671956539154,0.21839700872203424,14312.866363607236,4556.63972401619
1500,5.443304087549448,5.062689037322998,158.01485337690258,4.725544052064379e-06,3.6280975341796875,0.8274447917938232,0.21904233628179154,14355.15855056349,6839.303470611572
2000,4.988942085295916,4.633162631988525,102.83879159502125,6.744691802396119e-06,3.531745433807373,1.2709128856658936,0.21905188523956723,14355.784351060278,9121.867710828781
2500,4.582968215584755,4.297595767974854,73.52281512935929,0.0001679134818601824,3.5158162117004395,1.6821205615997314,0.21967752855761258,14396.786511551698,11397.931190252304
3000,4.331497663199902,4.11140775680542,61.03257614586696,0.00015251029104135227,3.4113352298736572,2.0160839557647705,0.2202772474593529,14436.089689496152,13667.797941207886
3500,4.224374312847853,3.9900489139556883,54.05753346645589,0.0007478344729179298,3.432685613632202,2.304809093475342,0.22024882818763575,14434.227204104896,15937.957578897476
4000,4.116224371612072,3.906931200027466,49.74605679331589,0.00026198403014632277,3.4033727645874023,2.5623250007629395,0.21980923942604172,14405.41831502507,18212.657228946686
4500,4.018943260997534,3.86238320350647,47.57860586131948,0.0002788567622786786,3.4544475078582764,2.794658899307251,0.2193410409121827,14374.734457220806,20492.212381601334
5000,4.004070667520166,3.8041814136505128,44.888489964254305,0.010609786906726981,3.3011772632598877,3.0043423175811768,0.2193095450739266,14372.670345964854,22772.09490942955
5500,3.943710864216089,3.7443843841552735,42.282969139168785,0.0007525262756935547,3.40655779838562,3.1992814540863037,0.21940960805480356,14379.228073479606,25050.937684059143
6000,3.886015864610672,3.7198717975616455,41.25910425176237,0.0001740348850418627,3.358283758163452,3.3778483867645264,0.21932357670701716,14373.589923071077,27330.674352169037
6500,3.8602504221498966,3.674227237701416,39.418184198029,0.001679560749833442,3.3320043087005615,3.5437521934509277,0.21976472208196107,14402.5008263634,29605.834784030914
7000,3.832554381877184,3.667084770202637,39.13764416520806,0.000343686638956342,3.395634889602661,3.696101665496826,0.21947924461775198,14383.791775268994,31883.954525470734
7500,3.796775458395481,3.641357116699219,38.14356688711656,0.0018552862394223268,3.257725238800049,3.8379106521606445,0.2190882571731917,14358.16802210229,34166.13982582092
8000,3.807544145166874,3.6061870193481447,36.825370350867075,0.000506510102290747,3.379093647003174,3.9704322814941406,0.21881868130050766,14340.50109771007,36451.13668727875
